id_leggo,id_ext,casa,id_leggo_prop_principal,id_ext_prop_principal,id_ext_prop_principal_raiz,uri_prop_principal_raiz,interesse
af958ff89519c7dcdacba4a84db760e1,2252096,camara,NA,474875,2189670,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2189670,socioambiental
afb2c0b14ca5f287a443e576c1ae25a8,2194820,camara,NA,2082988,2082988,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2082988,socioambiental
afbcf1dc6a34e71e8b4c54100ea479f0,2192576,camara,NA,2057551,2082478,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2082478,socioambiental
afd344bac886162275b6e8530db6f9d8,2251180,camara,NA,2250700,2246801,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2246801,pandemia
b0670bce86971bb2c3082b7a8cfccacc,2258614,camara,NA,2218523,2218523,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2218523,reforma-tributaria
b06b9de1f0bc7a3360b86b4d1def92ec,2192532,camara,NA,474875,2189670,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2189670,socioambiental
b0ab07c73020fb93ff15471f88a03037,2262811,camara,NA,583945,583945,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=583945,transparencia-e-integridade
b0be6c7750b560a1fe4ad145dc89e102,2266686,camara,NA,1212570,949156,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=949156,socioambiental
b121c59659e22b5c4fdc753391c726bd,2251844,camara,NA,2242137,2242137,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2242137,pandemia
b21d4bce51660cbb8ee34760fcc9e68d,2262080,camara,NA,2261985,2261985,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2261985,pandemia
b2b99a380dec34984a7968665996bfe9,2263833,camara,NA,2170712,2170712,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2170712,socioambiental
b2f9c9cfcf17fca2a7f3a66666d9320b,2273367,camara,NA,2267042,2254814,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2254814,pandemia
b31fce7ad348600ae5ad5724005af690,2260819,camara,NA,2242473,2239538,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2239538,pandemia
b321c0eb9f01c9e1c021eefad355d4a2,2215109,camara,NA,2148738,2148738,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2148738,socioambiental
b3541402658c89d9e646a833f268dbf8,2264889,camara,NA,2251649,2251649,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2251649,pandemia
b38199f54e05f89632f98340793668c1,2273852,camara,NA,2242474,2283442,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2283442,pandemia
b3c20f79a86b170c22fef6d43b4e8a95,2268800,camara,NA,2268643,2254814,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2254814,pandemia
b3cc099b705e543f4e034b678c646ebd,2211365,camara,NA,2196597,2191915,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2191915,socioambiental
b406d9c94c00604d91a2e13d38f8c262,2268075,camara,NA,2251394,2239398,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2239398,pandemia
b48cfc1e88dde29f631d22a7b6675d49,2191189,camara,NA,433793,430915,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=430915,transparencia-e-integridade
b4b1158419e1c4fe299ddd3ac1a16dab,2195047,camara,NA,2176186,2176186,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2176186,socioambiental
b5853b72aa7feb79b13bec97f0ecb854,2255966,camara,NA,2242236,2242236,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2242236,pandemia
b5a501b95cd9572a27f59370db6abf75,2241679,camara,NA,2239461,2239461,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2239461,socioambiental
b5aca7e99be70bcceeb591eb7c9cfcab,2242671,camara,NA,2239623,2239623,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2239623,pandemia
b67862680e4d0d6ebc4bfd776fa1dda5,2267445,camara,NA,1197929,539988,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=539988,socioambiental
b6e7fa07c9c092af12e3dbe389908440,2224264,camara,NA,2205107,2170712,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2170712,socioambiental
b7ba5cb7a06c307bbffe90987c8a445b,2270277,camara,NA,2230661,2230661,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2230661,pandemia
b7d24ef804088d8fb0f4bb286ea3d911,2265213,camara,NA,486166,486166,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=486166,transparencia-e-integridade
b81c2e2dca7a3b65597f15fcd29e4f65,2258601,camara,NA,2250700,2246801,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2246801,pandemia
b866689e8146e3a0d54aa810f8dbfb7d,2242792,camara,NA,2239398,2239398,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2239398,pandemia
b87569b26e97eb031fc3fa4a61a6f978,2198006,camara,NA,502976,502976,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=502976,socioambiental
b8fa846d9f9af6af71ffb3eb6084dd92,2278529,camara,NA,2279749,2279749,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2279749,pandemia
b901f66941d8c43d9b4f020261fa2977,2218436,camara,NA,2187304,2129012,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2129012,socioambiental
b972ef03b54228885002f030879506ce,2237751,camara,NA,474875,2189670,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2189670,socioambiental
bada9d347daf041649005185dea46195,2269486,camara,NA,2195326,2195326,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2195326,pandemia
badfcb9e874d9685f6eb7bd5d66759dc,2267546,camara,NA,2236972,522137,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=522137,socioambiental
bb7bb87bf4ebd178ee99c83b07fb476b,2266910,camara,NA,2266437,2266437,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2266437,pandemia
bc025de5ba01592fefde244210779020,2193395,camara,NA,2079151,341067,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=341067,socioambiental
bc24f3c441c8836931ce4a3c21c21688,2266525,camara,NA,2266437,2266437,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2266437,pandemia
bd002372397ef11113ba41fe8c4ec1a6,2254043,camara,NA,2251654,2170785,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2170785,leggo
bd24ce11e0e677346dfef972ce81764d,2276504,camara,NA,2199435,575819,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=575819,pandemia
bdc4510bae7c10f94bfb4fb25667b229,2230049,camara,NA,517522,17700,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=17700,socioambiental
c05927ef4dd33a45221099fc95908bcd,2276447,camara,NA,2252994,2242198,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2242198,pandemia
c1ec1168a637d28d2f83a4df1b75fdff,2276074,camara,NA,2274296,2267871,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2267871,pandemia
c253e3da672850df12635a9665d7e66b,2214885,camara,NA,2197918,2197918,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2197918,reforma-tributaria
c318006999bb4146a862425b6cfa8313,2244925,camara,NA,2241784,2241784,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2241784,socioambiental
c3f93e53dc41c09dafb7295b5b8f4373,2276518,camara,NA,2274699,2279749,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2279749,pandemia
c425878fd4746e30b25cd212f97ecd23,2190872,camara,NA,491502,491502,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=491502,socioambiental
c51b7b438d5608ce2568b47c3bce64c3,133007,senado,NA,129137,129137,https://www25.senado.leg.br/web/atividade/materias/-/materia/129137,transparencia-e-integridade
c609ab7799bffb9e2bdf140417e9df22,2193607,camara,NA,464417,464417,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=464417,socioambiental
c6c01ec65ff7c8d7bacf03681ec9aa1f,2209991,camara,NA,2193319,2192894,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2192894,transparencia-e-integridade
c6dbd1145862d9a4bc781d6fa3fa717b,2252638,camara,NA,2016965,357364,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=357364,pandemia
