id_senado,sigla_tipo_senado,numero_senado,ano_senado,id_camara,sigla_tipo_camara,numero_camara,ano_camara
,,,,2056688,PL,3759,2015
107824,PLS,00361,2012,,,,
,,,,1301258,PL,1763,2015
137242,PL,03457,2019,,,,
,,,,946462,PL,307,2015
132138,PLS,00017,2018,2184640,PL,10903,2018
,,,,2181617,PL,10581,2018
,,,,2244926,PL,1686,2020
135801,PL,01553,2019,,,,
136750,PL,02865,2019,,,,
,,,,2236756,PL,188,2020
,,,,2114805,PL,6353,2016
,,,,2149755,PL,8417,2017
,,,,492928,PLP,14,2011
,,,,2077574,PL,4467,2016
115089,PLS,00451,2013,,,,
,,,,1280620,PL,1657,2015
,,,,1699265,PEC,118,2015
,,,,1199800,PEC,18,2015
,,,,2197250,PL,2152,2019
118106,PLS,00216,2014,,,,
,,,,2196339,PL,1931,2019
,,,,1555247,PL,2274,2015
,,,,516675,PL,2070,2011
,,,,2028582,PL,3494,2015
120186,PLC,00012,2015,577922,PL,5627,2013
,,,,2250411,PL,2108,2020
,,,,2078274,PL,4559,2016
,,,,2227732,PL,5767,2019
120158,PLS,00127,2015,,,,
123204,PLS,00625,2015,,,,
,,,,2081598,PL,4930,2016
,,,,2088809,PL,5638,2016
,,,,559861,PL,4726,2012
,,,,2251918,PL,2455,2020
,,,,2209174,PL,3705,2019
,,,,2187098,PL,11022,2018
,,,,537833,PL,3477,2012
,,,,2141305,PL,7853,2017
,,,,2025432,PL,3443,2015
,,,,2262068,PL,4456,2020
123885,PLS,00710,2015,,,,
100253,PLS,00258,2011,,,,
,,,,2265238,PL,5176,2020
,,,,2257969,PL,3866,2020
99836,PLS,00152,2011,,,,
,,,,2200663,PL,2722,2019
,,,,2171265,PL,9981,2018
,,,,2151685,PLP,421,2017
,,,,2248028,PL,1846,2020
136593,PL,02642,2019,,,,
131918,PLS,00497,2017,,,,
,,,,2017898,PLS,680,2015
,,,,2147346,PLV,24,2017
,,,,2190891,PL,333,2019
138994,PL,05225,2019,,,,
,,,,2126794,PL,7201,2017
,,,,2186742,PL,10994,2018
,,,,2153671,PL,8745,2017
114360,PLS,00370,2013,,,,
,,,,2259410,PL,4085,2020
,,,,2168775,PL,9693,2018
141212,PL,00961,2020,,,,
125620,PEC,00021,2016,,,,
,,,,2193296,PL,1190,2019
,,,,2261145,PL,4380,2020
,,,,2182259,PLP,533,2018
,,,,2211130,PL,3910,2019
,,,,493471,PL,600,2011
,,,,2221976,PL,5242,2019
,,,,2179898,PL,10475,2018
,,,,2086451,PL,5454,2016
,,,,2074963,PL,4001,2015
,,,,2250319,PL,2078,2020
123371,PLS,00653,2015,,,,
,,,,2190520,PL,77,2019
,,,,2140519,PL,7825,2017
144530,PL,04465,2020,,,,
112070,PLS,00111,2013,,,,
,,,,1306701,PL,1882,2015
,,,,598874,PL,6662,2013
,,,,2077816,PL,4514,2016
,,,,2190546,PL,99,2019
,,,,2075082,PL,4060,2015
,,,,605842,PL,7098,2014
134447,PLS,00419,2018,,,,
,,,,2207000,PL,3379,2019
,,,,2241801,PL,899,2020
,,,,2169436,PLP,485,2018
,,,,514007,PL,1936,2011
99887,PEC,00024,2011,,,,
,,,,2142694,PL,7956,2017
,,,,2198028,PL,2285,2019
,,,,2191905,PL,731,2019
,,,,2090343,PL,5741,2016
,,,,622104,PL,7937,2014
118721,PLS,00300,2014,,,,
,,,,2153423,PL,8729,2017
,,,,2213523,PL,4250,2019
,,,,503261,PL,1407,2011
,,,,2177109,PL,10326,2018
,,,,2196577,PL,1982,2019
101548,PLS,00471,2011,2158742,PL,8963,2017
,,,,493857,PL,8062,2011
,,,,2159703,MPV,806,2017
,,,,522041,PL,2423,2011
,,,,2018418,PLP,180,2015
,,,,1229820,PL,1413,2015
,,,,564946,PL,4978,2013
,,,,1280775,PL,1667,2015
,,,,2211622,PL,3990,2019
,,,,2191202,PL,484,2019
,,,,578824,PL,5669,2013
,,,,2231052,PL,6228,2019
,,,,2076055,PL,4200,2015
,,,,2162050,PL,9071,2017
,,,,2095157,PL,6027,2016
,,,,2236588,PL,122,2020
,,,,2024521,PL,3398,2015
,,,,2173432,PL,10138,2018
,,,,2245006,PL,1717,2020
,,,,944351,PL,67,2015
,,,,2233164,PL,6357,2019
,,,,2195044,PL,1686,2019
118045,PLS,00203,2014,,,,
,,,,2024166,PL,3363,2015
,,,,2183182,PL,10742,2018
,,,,2190582,PL,121,2019
127963,PLS,00013,2017,,,,
,,,,2112909,PLP,317,2016
119726,PLS,00036,2015,,,,
,,,,1671889,PL,2662,2015
,,,,2079269,PL,4699,2016
,,,,2017950,PEC,156,2015
,,,,2153726,PL,8753,2017
,,,,536934,PL,3413,2012
,,,,976384,PL,624,2015
135090,PL,00395,2019,2123390,PL,6882,2017
,,,,2167802,PL,9520,2018
,,,,2113054,PL,6239,2016
,,,,2169441,PL,9801,2018
119100,MPV,00660,2014,1198095,PLV,1,2015
,,,,2200309,PL,2639,2019
,,,,2257950,PL,3857,2020
,,,,2234584,PL,6501,2019
136914,PL,03061,2019,,,,
,,,,2269778,PL,337,2021
112118,PLS,00114,2013,,,,
102993,PLS,00655,2011,,,,
,,,,533105,PL,3056,2011
,,,,955591,PL,537,2015
,,,,585322,PLP,299,2013
,,,,521928,PL,2416,2011
,,,,2056681,PL,3757,2015
,,,,2256872,PLP,177,2020
,,,,2189070,PL,11179,2018
,,,,2193952,PL,1486,2019
,,,,2148807,PL,8353,2017
,,,,1228941,PL,1381,2015
,,,,1806295,PL,3175,2015
,,,,2193484,PL,1297,2019
,,,,2200115,PL,2617,2019
,,,,945486,PL,98,2015
,,,,498396,PL,1033,2011
,,,,2198573,PL,2382,2019
,,,,961595,PLP,22,2015
143358,PL,03739,2020,,,,
,,,,2227950,PL,5817,2019
,,,,2126582,PL,7195,2017
100732,PLS,00333,2011,,,,
,,,,2264142,PL,4862,2020
134188,PLS,00373,2018,,,,
140927,PL,00484,2020,,,,
,,,,1302317,PL,1810,2015
,,,,2214653,PL,4404,2019
112613,PLS,00168,2013,,,,
,,,,2264536,PL,4980,2020
,,,,2160918,PL,9057,2017
,,,,2263090,PL,4660,2020
,,,,2224749,PL,5476,2019
,,,,2262770,PL,4525,2020
,,,,530354,PL,2861,2011
,,,,2075888,PL,4179,2015
,,,,2227267,PL,5709,2019
,,,,2268944,PL,201,2021
,,,,2124311,PL,6988,2017
,,,,2257558,PL,3777,2020
,,,,1280696,PL,1659,2015
101321,PLS,00432,2011,534946,PL,3252,2012
,,,,2017462,PL,3283,2015
,,,,2083366,PL,5157,2016
,,,,2090267,PL,5728,2016
,,,,2168476,PL,9636,2018
,,,,534632,PLP,134,2012
,,,,2198112,PL,2287,2019
,,,,2270102,PL,418,2021
,,,,2253866,PL,2935,2020
,,,,564535,MPV,603,2013
,,,,2227430,PL,5731,2019
,,,,2190760,PL,252,2019
,,,,2196417,PLP,93,2019
110545,PLS,00021,2013,,,,
,,,,580521,PL,5750,2013
,,,,2193367,PL,1228,2019
,,,,2204273,PL,3054,2019
,,,,2193184,PL,1162,2019
,,,,516938,PL,2098,2011
,,,,2200499,PL,2677,2019
,,,,2190584,PL,109,2019
,,,,2199158,PL,2495,2019
,,,,796266,PL,8133,2014
,,,,2192576,PL,966,2019
,,,,585649,PL,6016,2013
,,,,2265111,PL,5131,2020
